"state","type","revenue"
"AK","DSL","3745.198293"
"AK","Fiber Optic","7430.134848"
"AL","DSL","10545.696070"
"AL","Fiber Optic","16841.065804"
"AR","DSL","9002.458254"
"AR","Fiber Optic","14667.568636"
"AZ","DSL","7310.521721"
"AZ","Fiber Optic","8304.821077"
"CA","DSL","31515.222821"
"CA","Fiber Optic","42123.111080"
"CO","DSL","8009.834135"
"CO","Fiber Optic","15120.645600"
"CT","DSL","4917.445063"
"CT","Fiber Optic","4675.962936"
"DC","DSL","405.0783"
"DC","Fiber Optic","1397.55988"
"DE","DSL","1205.329956"
"DE","Fiber Optic","1292.5845"
"FL","DSL","21216.960949"
"FL","Fiber Optic","27076.535307"
"GA","DSL","12655.564496"
"GA","Fiber Optic","19266.809103"
"HI","DSL","1814.9712"
"HI","Fiber Optic","3348.096656"
"IA","DSL","16859.265437"
"IA","Fiber Optic","22873.661882"
"ID","DSL","4685.608080"
"ID","Fiber Optic","5895.059501"
"IL","DSL","25632.485140"
"IL","Fiber Optic","30821.471283"
"IN","DSL","14622.130057"
"IN","Fiber Optic","22292.018403"
"KS","DSL","12123.725554"
"KS","Fiber Optic","17608.055249"
"KY","DSL","12842.978818"
"KY","Fiber Optic","21017.091458"
"LA","DSL","5827.482390"
"LA","Fiber Optic","13352.947304"
"MA","DSL","9012.194654"
"MA","Fiber Optic","16623.098594"
"MD","DSL","6184.634149"
"MD","Fiber Optic","9275.934576"
"ME","DSL","4892.184854"
"ME","Fiber Optic","10027.720664"
"MI","DSL","17583.957751"
"MI","Fiber Optic","19818.249137"
"MN","DSL","15185.843426"
"MN","Fiber Optic","20922.569837"
"MO","DSL","18657.791385"
"MO","Fiber Optic","24741.542485"
"MS","DSL","6455.032909"
"MS","Fiber Optic","10467.579533"
"MT","DSL","5222.439482"
"MT","Fiber Optic","8080.401001"
"NC","DSL","17082.446226"
"NC","Fiber Optic","19412.194043"
"ND","DSL","6275.268037"
"ND","Fiber Optic","10070.472137"
"NE","DSL","9933.392411"
"NE","Fiber Optic","13227.455486"
"NH","DSL","5135.509666"
"NH","Fiber Optic","7741.998424"
"NJ","DSL","8562.819228"
"NJ","Fiber Optic","16344.633553"
"NM","DSL","6438.352456"
"NM","Fiber Optic","9746.366229"
"NV","DSL","3300.468015"
"NV","Fiber Optic","3935.250180"
"NY","DSL","32184.919360"
"NY","Fiber Optic","47183.428409"
"OH","DSL","21259.306162"
"OH","Fiber Optic","29495.383257"
"OK","DSL","10479.563804"
"OK","Fiber Optic","16718.483707"
"OR","DSL","8215.792464"
"OR","Fiber Optic","7890.205340"
"PA","DSL","31928.809142"
"PA","Fiber Optic","43441.719352"
"PR","DSL","1959.863945"
"PR","Fiber Optic","3984.982748"
"RI","DSL","1187.4116"
"RI","Fiber Optic","1174.881234"
"SC","DSL","8975.974397"
"SC","Fiber Optic","10920.248215"
"SD","DSL","5339.626534"
"SD","Fiber Optic","8992.686681"
"TN","DSL","12024.993322"
"TN","Fiber Optic","12365.479719"
"TX","DSL","32370.146969"
"TX","Fiber Optic","51276.641953"
"UT","DSL","3502.519969"
"UT","Fiber Optic","6197.957246"
"VA","DSL","19086.833206"
"VA","Fiber Optic","20430.166572"
"VT","DSL","4465.422174"
"VT","Fiber Optic","7533.194584"
"WA","DSL","11127.945439"
"WA","Fiber Optic","15546.346901"
"WI","DSL","14458.672214"
"WI","Fiber Optic","16772.843396"
"WV","DSL","12722.676756"
"WV","Fiber Optic","22086.992140"
"WY","DSL","2362.669412"
"WY","Fiber Optic","4179.749353"
